1,0
16,5
-2,-4
0,-1
2,2
0,0
1,1
3,2
8,5
1,1
-2,-2
2,1
-2,-5
4,2
0,0
6,4
-4,-5
-3,-4
-3,-3
0,-2
1,1
0,-1
-1,-2
11,2
8,6
17,4
0,-1
0,-1
-1,-2
-2,-7
-1,-2
5,0
-1,-1
2,1
1,0
1,0
62,-40
4,-6
1,-1
0,-6
0,-1
0,0
1,1
-1,-2
-1,-1
-1,-2
4,4
-3,-13
-1,-1
1,1
4,3
2,1
45,17
3,3
1,0
-2,-2
0,0
25,8
3,3
0,-1
1,-2
-1,-1
-2,-3
1,-1
3,2
-2,-4
2,1
-1,-1
2,1
-1,-2
2,2
2,-3
3,3
5,4
0,-1
0,-1
0,-1
1,1
2,1
2,2
-1,-2
3,2
-4,-8
-1,-1
0,-2
-1,-1
3,2
1,0
-2,-9
1,0
1,1
1,1
1,1
2,1
0,0
-1,-2
2,-1
3,-1
1,0
2,2
-2,-2
0,-2
-1,-2
2,1
2,1
1,1
5,-3
0,-1
1,0
0,-2
5,3
2,0
4,3
0,-2
0,-1
77,-31
2,2
1,-1
18,11
0,-1
-10,-18
2,1
-2,-2
5,2
-3,-3
-3,-4
1,0
0,-1
1,0
2,1
2,1
0,-2
-2,-3
4,2
4,1
-1,-2
0,-2
3,2
1,0
-1,-2
23,2
0,-1
3,2
-1,-1
-1,-3
1,-1
0,-2
0,0
0,0
-1,-6
0,-1
3,2
-4,-5
-1,-1
3,2
0,-1
0,-1
-1,-4
2,2
2,1
-1,-2
0,-1
1,-1
6,-4
0,-1
0,-3
-2,-3
2,1
1,1
7,1
6,4
1,0
1,1
1,0
2,-8
4,3
-2,-2
3,1
1,0
2,-2
2,2
4,2
0,-3
1,0
-1,-1
1,1
12,1
1,1
3,0
0,-1
5,3
-2,-3
